CATEGORY,NAME,SERIAL,LAT_DECIMAL,LON_DECIMAL,LAT_DEG,LAT_MIN,LAT_SEC,LON_DEG,LON_MIN,LON_SEC,COMMENT
Control_Area,BusanVTS,1,35.03222222,128.9658333,35,1,56,128,57,57,
Control_Area,BusanVTS,2,34.97955556,128.9895,34,58,46.4,128,59,22.2,
Control_Area,BusanVTS,3,34.84166667,129.0416667,34,50,30,129,2,30,
Control_Area,BusanVTS,4,34.93333333,129.25,34,56,0,129,15,0,
Control_Area,BusanVTS,5,35.08333333,129.3333333,35,5,0,129,20,0,
Control_Area,BusanVTS,6,35.19666667,129.2291667,35,11,48,129,13,45,
Anchorage,Busan_N1,1,35.07641667,129.0333333,35,4,35.1,129,2,0,<1000GT of 8 Vessels
Anchorage,Busan_N1,2,35.07641667,129.0393056,35,4,35.1,129,2,21.5,
Anchorage,Busan_N1,3,35.06713889,129.0530833,35,4,1.7,129,3,11.1,
Anchorage,Busan_N1,4,35.06713889,129.0344167,35,4,1.7,129,2,3.9,
Anchorage,Busan_N2,1,35.07644444,129.0265278,35,4,35.2,129,1,35.5,<3000GT of 7 Vessels
Anchorage,Busan_N2,2,35.07644444,129.0315,35,4,35.2,129,1,53.4,
Anchorage,Busan_N2,3,35.053,129.0312222,35,3,10.8,129,1,52.4,
Anchorage,Busan_N2,4,35.05294444,129.0172778,35,3,10.6,129,1,2.2,
Anchorage,Busan_N2,5,35.06147222,129.0249167,35,3,41.3,129,1,29.7,
Anchorage,Busan_N2,6,35.07413889,129.0249167,35,4,26.9,129,1,29.7,
Anchorage,Busan_N3,1,35.06713889,129.0344167,35,4,1.7,129,2,3.9,"<1000GT of 2 Vessels, <3000GT of 5 Vessels, <10000GT of 11 Vessels"
Anchorage,Busan_N3,2,35.06713889,129.0530833,35,4,1.7,129,3,11.1,
Anchorage,Busan_N3,3,35.04886111,129.0800556,35,2,55.9,129,4,48.2,
Anchorage,Busan_N3,4,35.04430556,129.0370833,35,2,39.5,129,2,13.5,
Anchorage,Busan_N4,1,35.04430556,129.0370833,35,2,39.5,129,2,13.5,">=3000GT and <10000GT of 1 Vessel, >=10000GT and <16000GT of 7 Vessels"
Anchorage,Busan_N4,2,35.04886111,129.0800556,35,2,55.9,129,4,48.2,
Anchorage,Busan_N4,3,35.036,129.0899167,35,2,9.6,129,5,23.7,
Anchorage,Busan_N4,4,35.02686111,129.0439167,35,1,36.7,129,2,38.1,
Anchorage,Busan_N5,1,35.02686111,129.0439167,35,1,36.7,129,2,38.1,">=10000GT and <16000GT of 3 Vessel, >=16000GT and <24000GT of 4 Vessels"
Anchorage,Busan_N5,2,35.036,129.0899167,35,2,9.6,129,5,23.7,
Anchorage,Busan_N5,3,35.03402778,129.0923056,35,2,2.5,129,5,32.3,
Anchorage,Busan_N5,4,35.00313889,129.0800278,35,0,11.3,129,4,48.1,
Anchorage,Busan_N5,5,35.00319444,129.0439167,35,0,11.5,129,2,38.1,
Anchorage,Busan_S1,1,35.14752778,129.1407778,35,8,51.1,129,8,26.8,~10000GT of 1 Vessel (200 Meter Radius)
Anchorage,Busan_E1,1,35.10308333,129.0496944,35,6,11.1,129,2,58.9,~5000GT of 1 Vessel
Anchorage,Busan_E2,1,35.10613889,129.0530278,35,6,22.1,129,3,10.9,>=10000GT of 1 Vessel
Anchorage,Busan_O2,1,35.09611111,129.0683333,35,5,46,129,4,6,<3000GT of 7 Vessels
Anchorage,Busan_O2,2,35.1,129.0713889,35,6,0,129,4,17,
Anchorage,Busan_O2,3,35.09444444,129.0805556,35,5,40,129,4,50,
Anchorage,Busan_O2,4,35.08944444,129.075,35,5,22,129,4,30,
Anchorage,Busan_M7,1,35.08919444,129.0821944,35,5,21.1,129,4,55.9,<10000GT of 1 Vessel
Anchorage,Busan_M8,1,35.08725,129.0866389,35,5,14.1,129,5,11.9,>=10000GT of 1 Vessel
Anchorage,Busan_M9,1,35.08391667,129.0910833,35,5,2.1,129,5,27.9,>=10000GT of 1 Vessel
Pilot_Station_On,Northern_Port_PSTN,1,35.08333333,129.1408333,35,5,0,129,8,27,
Pilot_Station_On,Northern_Port_PSTN,2,35.08333333,129.1666667,35,5,0,129,10,0,
Pilot_Station_On,Northern_Port_PSTN,3,35.05555556,129.1666667,35,3,20,129,10,0,
Pilot_Station_On,Northern_Port_PSTN,4,35.07083333,129.1327778,35,4,15,129,7,58,
Pilot_Station_Off,Northern_Port,1,35.07917171,129.1112455,,,,,,,0.3NM away from Joe-do Breakwaters on outbound channel
Pilot_Station_On,Gamcheon_Port_PSTN,1,35.04277778,129.0305556,35,2,34,129,1,50,
Pilot_Station_On,Gamcheon_Port_PSTN,2,35.04166667,129.0386111,35,2,30,129,2,19,
Pilot_Station_On,Gamcheon_Port_PSTN,3,35.02833333,129.0438889,35,1,42,129,2,38,
Pilot_Station_On,Gamcheon_Port_PSTN,4,35.02611111,129.0325,35,1,34,129,1,57,
Pilot_Station_On,Gamcheon_Port_PSTN,5,35.03222222,129.0258333,35,1,56,129,1,33,
Pilot_Station_Off,Gamcheon_Port,1,35.04680529,129.0121609,,,,,,,0.3NM away from West Gamcheon Port Breakwaters on outbound channel
Pilot_Station_BW,Northern_Port_BWPSTN,1,35.09333333,129.0891667,35,5,36,129,5,21,
Pilot_Station_BW,Northern_Port_BWPSTN,2,35.08861111,129.0975,35,5,19,129,5,51,
Pilot_Station_BW,Northern_Port_BWPSTN,3,35.08722222,129.0963889,35,5,14,129,5,47,
Pilot_Station_BW,Northern_Port_BWPSTN,4,35.09194444,129.0880556,35,5,31,129,5,17,
Pilot_Station_BW,Gamcheon_Port_BWPSTN,1,35.09555556,129.0822222,35,5,44,129,4,56,
Pilot_Station_BW,Gamcheon_Port_BWPSTN,2,35.09027778,129.0905556,35,5,25,129,5,26,
Pilot_Station_BW,Gamcheon_Port_BWPSTN,3,35.08972222,129.0894444,35,5,23,129,5,22,
Pilot_Station_BW,Gamcheon_Port_BWPSTN,4,35.09416667,129.0811111,35,5,39,129,4,52,
