GRID_ID,POLYGON,UPPER_LEFT_LATITUDE,UPPER_LEFT_LONGITUDE,UPPER_RIGHT_LATITUDE,UPPER_RIGHT_LONGITUDE,LOWER_RIGHT_LATITUDE,LOWER_RIGHT_LONGITUDE,LOWER_LEFT_LATITUDE,LOWER_LEFT_LONGITUDE
GR2_B3A11,"120 44,120.25 44,120.25 43.75,120 43.75,120 44",44.0,120.0,44.0,120.25,43.75,120.25,43.75,120.0
GR2_B3A12,"120.25 44,120.5 44,120.5 43.75,120.25 43.75,120.25 44",44.0,120.25,44.0,120.5,43.75,120.5,43.75,120.25
GR2_B3A21,"120.5 44,120.75 44,120.75 43.75,120.5 43.75,120.5 44",44.0,120.5,44.0,120.75,43.75,120.75,43.75,120.5
GR2_B3A22,"120.75 44,121 44,121 43.75,120.75 43.75,120.75 44",44.0,120.75,44.0,121.0,43.75,121.0,43.75,120.75
GR2_B3B11,"121 44,121.25 44,121.25 43.75,121 43.75,121 44",44.0,121.0,44.0,121.25,43.75,121.25,43.75,121.0
GR2_B3B12,"121.25 44,121.5 44,121.5 43.75,121.25 43.75,121.25 44",44.0,121.25,44.0,121.5,43.75,121.5,43.75,121.25
GR2_B3B21,"121.5 44,121.75 44,121.75 43.75,121.5 43.75,121.5 44",44.0,121.5,44.0,121.75,43.75,121.75,43.75,121.5
GR2_B3B22,"121.75 44,122 44,122 43.75,121.75 43.75,121.75 44",44.0,121.75,44.0,122.0,43.75,122.0,43.75,121.75
GR2_B3C11,"122 44,122.25 44,122.25 43.75,122 43.75,122 44",44.0,122.0,44.0,122.25,43.75,122.25,43.75,122.0
GR2_B3C12,"122.25 44,122.5 44,122.5 43.75,122.25 43.75,122.25 44",44.0,122.25,44.0,122.5,43.75,122.5,43.75,122.25
GR2_B3C21,"122.5 44,122.75 44,122.75 43.75,122.5 43.75,122.5 44",44.0,122.5,44.0,122.75,43.75,122.75,43.75,122.5
GR2_B3C22,"122.75 44,123 44,123 43.75,122.75 43.75,122.75 44",44.0,122.75,44.0,123.0,43.75,123.0,43.75,122.75
GR2_B3D11,"123 44,123.25 44,123.25 43.75,123 43.75,123 44",44.0,123.0,44.0,123.25,43.75,123.25,43.75,123.0
GR2_B3D12,"123.25 44,123.5 44,123.5 43.75,123.25 43.75,123.25 44",44.0,123.25,44.0,123.5,43.75,123.5,43.75,123.25
