구분,명칭,레이어명,제공방식
레저관광,갯바위포인트,TB_YACHT_RPNT,WMS/WFS
레저관광,"낚시터,유어장",TB_FACI_FSHLC,WMS/WFS
레저관광,"레저,스포츠",TB_FACI_SPORT,WMS/WFS
레저관광,마리나정보,TB_YACHT_MARINA_P,WMS/WFS
레저관광,민물낚시터,TL_RFISHERY_P,WMS/WFS
레저관광,바다낚시터,TL_SFISHERY_P,WMS/WFS
레저관광,"사찰,서원",TB_FACI_TEMPLE,WMS/WFS
레저관광,선상낚시포인트,TB_YACHT_SPOINT,WMS/WFS
레저관광,소형선항만정보,TB_SAILER,WMS/WFS
레저관광,"수목원,식물원",TB_FACI_GARDEN,WMS/WFS
레저관광,스쿠버,VI_SEA_VR,WMS/WFS
레저관광,어항정보,TB_FACI_FISHPORT,WMS/WFS
레저관광,영화촬영지,TB_FACI_FILMSITE,WMS/WFS
레저관광,"일조낙조,경관도로",TB_FACI_SCENIC,WMS/WFS
레저관광,"전망대,조망시설",TB_FACI_FISHINGOLE,WMS/WFS
레저관광,"전시,박물관",TB_FACI_EXHIBIT,WMS/WFS
레저관광,축제,TB_FACI_FESTIVAL,WMS/WFS
레저관광,캠핑장,TB_FACI_CAMPSITE,WMS/WFS
레저관광,테마파크,TB_FACI_THEMEPARK,WMS/WFS
레저관광,해상교통,TB_FACI_MARINTRAFF,WMS/WFS
레저관광,해수욕장,TB_FACI_BEACH,WMS/WFS
레저관광,해안누리길,VI_BCROAD_L,WMS/WFS
레저관광,해안산책마을,TB_FACI_TRAIL,WMS/WFS
레저관광,휴양림,TB_FACI_RCRFCT,WMS/WFS
지명정보,해양지명,TB_AREA_NAME_OCEAN,WMS/WFS
해상구역정보,강제도선구역,TL_FPILBOAT_A,WMS/WFS
해상구역정보,검역장소,TL_QUAARE_A,WMS/WFS
해상구역정보,광구,TB_ZN_MING,WMS/WFS
해상구역정보,교통안전특정해역,TB_ZN_TRSF,WMS/WFS
해상구역정보,국가어항,VI_ZN_CYFST,WMS/WFS
해상구역정보,무역항,TB_ZN_TRDEPT,WMS/WFS
해상구역정보,분구(어항구),TL_CLRGN_FSPT_A,WMS/WFS
해상구역정보,산업폐기물투기구역,TB_ZN_INDWSTE,WMS/WFS
해상구역정보,선박안전교통 관제구역,TL_VTMSA_A,WMS/WFS
해상구역정보,수난구호관할구역,TL_SARDRA_L,WMS/WFS
해상구역정보,신항만예정지역,TL_SHMSCH_A,WMS/WFS
해상구역정보,어업금지구역,TL_JUKJGY_L,WMS/WFS
해상구역정보,어업자원보호수역,TL_EUJOBHSY_L,WMS/WFS
해상구역정보,어업자원수역,TB_ZN_FRRSR,WMS/WFS
해상구역정보,어장정보,TL_DIST_FSHFRM,WMS/WFS
해상구역정보,연안수역,TL_CSTZNE_A,WMS/WFS
해상구역정보,연안침식관리구역,TL_YACSGRGY_P,WMS/WFS
해상구역정보,영해기점 무인도서,TL_MIDS_P,WMS/WFS
해상구역정보,영해한계선,TB_ZN_TRTSEA,WMS/WFS
해상구역정보,오염물질총량 규제해역,TL_TISVCONA_A,WMS/WFS
해상구역정보,유조선통항금지해역,TB_ZN_OKR,WMS/WFS
해상구역정보,제한구역,TL_RSTRCT_A,WMS/WFS
해상구역정보,조업해역 (자제),TB_ZN_FSHOPR,WMS/WFS
해상구역정보,조업해역 (특정),TL_FSHSPA_A,WMS/WFS
해상구역정보,주의경계해역,TL_SWYWRN_A,WMS/WFS
해상구역정보,지방해양 안전심판원 관할구역,TL_KMSTARE_L,WMS/WFS
해상구역정보,직선영해기선,VI_STSLNE_L,WMS/WFS
해상구역정보,취수해역,TL_WAINARE_A,WMS/WFS
해상구역정보,특정해역 외의 해역에서의 어로 제한,TL_SSAONFI_A,WMS/WFS
해상구역정보,특정해역 외의 해역에서의 어로 제한,TL_SSAONFI_L,WMS/WFS
해상구역정보,포획채취금지구역,TL_CAPBANA_A,WMS/WFS
해상구역정보,한일중간수역,TL_HNINTZ_A,WMS/WFS
해상구역정보,한중과도수역,TL_GDSE_A,WMS/WFS
해상구역정보,한중잠정조치수역,TL_HJPMMP_A,WMS/WFS
해상구역정보,항로표지 설치해역,TL_BECONSSA_A,WMS/WFS
해상구역정보,항만배후단지,TL_HMBHDJ_P,WMS/WFS
해상구역정보,해구정보,TL_HAEGU_A,WMS/WFS
해상구역정보,"해상훈련,사격구역",TB_ZN_SEATN,WMS/WFS
해상구역정보,해양경비관할구역,TL_KCGAREA_A,WMS/WFS
해상구역정보,환경보전해역,TB_ZN_EVSR,WMS/WFS
해상구역정보,수상레저활동 금지구역,ML_ZN_WTR_LEIS_PRO_L,WMS/WFS
해상구역정보,해양레저활동 허가구역,ML_ZN_MRT_LEIS_PER_L,WMS/WFS
해상구역정보,속도제한구역,ML_RESARE_RESTRN_27_A,WMS/WFS
해상구역정보,낚시금지,TL_RESARE_ENS,WMS/WFS
해상구역정보,낚시제한구역,TL_RESARE_FR,WMS/WFS
해상구역정보,정박금지(투묘금지),TL_RESARE_AP,WMS/WFS
해상구역정보,진입금지,TL_RESARE_EN,WMS/WFS
해상구역정보,진입제한,TL_RESARE_ER,WMS/WFS
해상교통안전,CCTV,TL_CCTVVI_P,WMS/WFS
해상교통안전,간이치안출장소,TL_POLTRP_P,WMS/WFS
해상교통안전,간출물골,VI_TIDEWY_L,WMS/WFS
해상교통안전,간출암,VI_UWTROC_P,WMS/WFS
해상교통안전,경찰서,TL_POLSTA_P,WMS/WFS
해상교통안전,깊은수심항로부,VI_DWRTPT_A,WMS/WFS
해상교통안전,노출암,VI_LNDARE_P,WMS/WFS
해상교통안전,도선사승하선구역,VI_PILBOP_P,WMS/WFS
해상교통안전,도선항로,VI_FERYRT_L,WMS/WFS
해상교통안전,등대,VI_LNDMRK_P,WMS/WFS
해상교통안전,병원,TL_HOSPAL_P,WMS/WFS
해상교통안전,보건소,TL_PUBHEA_P,WMS/WFS
해상교통안전,선거,VI_DOCARE_A,WMS/WFS
해상교통안전,선박사고,VI_SHPACC_P,WMS/WFS
해상교통안전,선석,VI_BERTHS_P,WMS/WFS
해상교통안전,선석_법령기반(면),TL_BERTH_A,WMS/WFS
해상교통안전,선석_법령기반(점),TL_BERTH_P,WMS/WFS
해상교통안전,소방서,TL_FIRSTA_P,WMS/WFS
해상교통안전,약국,TL_PARMAC_P,WMS/WFS
해상교통안전,양길항로부,VI_TWRTPT_A,WMS/WFS
해상교통안전,인명사고,VI_NSHPAC_P,WMS/WFS
해상교통안전,일반항로,VI_FAIRWY_A,WMS/WFS
해상교통안전,정박지,VI_ACHARE_A,WMS/WFS
해상교통안전,통항분리제도경계선,VI_TSSBND_L,WMS/WFS
해상교통안전,통항분리제도교차부,VI_TSSCRS_A,WMS/WFS
해상교통안전,통항분리제도구역,VI_TSEZNE_A,WMS/WFS
해상교통안전,통항분리제도중앙선,VI_TSELNE_L,WMS/WFS
해상교통안전,통항분리제도항로부,VI_TSSLPT_A,WMS/WFS
해상교통안전,항구,VI_HRBARE_A,WMS/WFS
해상교통안전,항로지도선,VI_NAVLNE_L,WMS/WFS
해상교통안전,해안경비안전서,TL_COAGUA_P,WMS/WFS
해상교통안전,어초정보,TL_OBSTRN_P,WMS/WFS
해상교통안전,수심정보,TL_SOUNDG_P,WMS/WFS
해상교통안전,침선정보,TL_WRECK_P,WMS/WFS
맞춤안전,갯골,VI_TIDCHA_A,WMS/WFS
맞춤안전,관공서,TL_PBLOFC_P,WMS/WFS
맞춤안전,레저기구탑승장,TL_LEQMBD_P,WMS/WFS
맞춤안전,레저안전선,TL_LESALI_L,WMS/WFS
맞춤안전,매표소,TL_TKTOFC_P,WMS/WFS
맞춤안전,샤워장,TL_SHWROM_P,WMS/WFS
맞춤안전,수상인명구조대,TL_MALIRE_P,WMS/WFS
맞춤안전,수영안전선,TL_SWMRES_L,WMS/WFS
맞춤안전,숙박업소,TL_ACCOMM_P,WMS/WFS
맞춤안전,안내표지판,TL_INFSIG_P,WMS/WFS
맞춤안전,안전요원망루,TL_WCHTWR_P,WMS/WFS
맞춤안전,야간불꽃놀이존,TL_NIFIZO_P,WMS/WFS
맞춤안전,어린이물놀이시설,TL_KIDZON_P,WMS/WFS
맞춤안전,온천,TL_HOTSPR_P,WMS/WFS
맞춤안전,웅덩이,VI_PUDDLE_A,WMS/WFS
맞춤안전,음수대,TL_DRIFOU_P,WMS/WFS
맞춤안전,이안류(주요발생지점),VI_OFFCUR_A,WMS/WFS
맞춤안전,인명구조장비함,TL_RESCUE_P,WMS/WFS
맞춤안전,재난경보시스템,TL_WARSYS_P,WMS/WFS
맞춤안전,종합안내소,TL_INFCEN_P,WMS/WFS
맞춤안전,주차장,TL_PRKPLC_P,WMS/WFS
맞춤안전,탈의실,TL_DREROM_P,WMS/WFS
맞춤안전,튜브대여소,TL_TUBLND_P,WMS/WFS
맞춤안전,행정봉사실,TL_ADSECE_P,WMS/WFS
맞춤안전,화장실,TL_TOILET_P,WMS/WFS
맞춤안전,흡연구역,TL_SMOZON_P,WMS/WFS
맞춤안전,갯골(약식),TL_LEIHAZ_TIDCHA_L_2019,WMS/WFS
맞춤안전,암초,TL_DGSATC_SUBMEROC_P,WMS/WFS
맞춤안전,갯바위,TL_LEIHAZ_TROTSE_A,WMS/WFS
시설안전,대형개선부표,VI_BOYINB_P,WMS/WFS
시설안전,돌핀,VI_MORFAC_P,WMS/WFS
시설안전,방위부표,VI_BOYCAR_P,WMS/WFS
시설안전,방위입표,VI_BCNCAR_P,WMS/WFS
시설안전,안전수역부표,VI_BOYSAW_P,WMS/WFS
시설안전,인공안선,VI_SLCONS_L,WMS/WFS
시설안전,측방표지입표,VI_BCNLAT_P,WMS/WFS
시설안전,특수부표,VI_BOYSPP_P,WMS/WFS
시설안전,특수입표,VI_BCNSPP_P,WMS/WFS
시설안전,항만구역,VI_HRBARE_A,WMS/WFS
시설안전,항해보조,VI_BCNISD_P,WMS/WFS
시설안전,해상교통관제센터,TL_VTSCEN_P,WMS/WFS
시설안전,해저케이블,VI_CBLSUB_L,WMS/WFS
